layer_config,learning_rate,add_dropout,batch_size,train_r2,test_r2
"[50, 25, 5]",0.001,False,16,0.3457,0.2697
"[50, 25, 5]",0.001,False,2,0.3575,0.2625
"[30, 15, 3]",0.001,False,2,0.3471,0.2573
"[30, 15, 3]",0.01,False,16,0.3168,0.2545
"[50, 25, 5]",0.001,True,32,0.2656,0.2461
"[20, 5]",0.001,False,16,0.2939,0.2452
"[20, 5]",0.001,False,32,0.2666,0.2436
"[20, 5]",0.001,True,2,0.2511,0.2422
"[20, 5]",0.01,False,16,0.2623,0.241
"[30, 15, 3]",0.001,True,2,0.2403,0.233
"[50, 25, 5]",0.001,True,16,0.2561,0.2326
"[20, 5]",0.001,True,32,0.2536,0.2297
"[20, 10, 2]",0.001,False,16,0.2337,0.2285
"[20, 10, 2]",0.01,False,32,0.2237,0.2267
"[20, 5]",0.01,True,32,0.2583,0.2239
"[50, 25, 5]",0.001,True,2,0.2244,0.2234
"[30, 15, 3]",0.001,False,32,0.2242,0.2229
"[20, 10, 2]",0.001,False,32,0.2237,0.2227
"[20, 10, 2]",0.001,False,2,0.2652,0.2186
"[30, 15, 3]",0.01,False,32,0.2987,0.2156
"[20, 5]",0.01,True,16,0.2179,0.208
"[20, 5]",0.001,True,16,0.2707,0.2079
"[30, 15, 3]",0.001,True,16,0.1827,0.1972
"[20, 10, 2]",0.001,True,32,0.212,0.1894
"[30, 15, 3]",0.001,False,16,0.3076,0.1886
"[30, 15, 3]",0.01,True,32,0.1789,0.1868
"[30, 15, 3]",0.001,True,32,0.1705,0.1864
"[20, 10, 2]",0.01,True,16,0.1666,0.1768
"[20, 10, 2]",0.001,True,16,0.1537,0.1745
"[20, 10, 2]",0.001,True,2,0.1533,0.1715
"[50, 25, 5]",0.01,True,32,0.1798,0.171
"[20, 5]",0.01,True,2,0.158,0.1511
"[20, 10, 2]",0.01,True,32,0.1542,0.1481
"[20, 5]",0.001,False,2,0.2775,0.1468
"[20, 5]",0.01,False,2,0.1286,0.139
"[20, 10, 2]",0.01,False,2,0.1696,0.1263
"[50, 25, 5]",0.01,False,16,0.1748,0.1226
"[30, 15, 3]",0.01,True,16,0.0967,0.098
"[50, 25, 5]",0.01,False,32,0.3803,0.0979
"[20, 5]",0.01,False,32,0.3576,0.0977
"[50, 25, 5]",0.001,False,32,0.258,0.0863
"[50, 25, 5]",0.01,True,2,0.0673,0.0699
"[20, 10, 2]",0.01,True,2,0.0626,0.0697
"[50, 25, 5]",0.01,True,16,0.057,0.0587
"[30, 15, 3]",0.01,False,2,0.1845,0.0493
"[30, 15, 3]",0.01,True,2,0.0381,0.0438
"[50, 25, 5]",0.1,True,32,-0.0,-0.0
"[30, 15, 3]",0.1,False,32,-0.0,-0.0
"[20, 5]",0.1,True,32,-0.0,-0.0
"[30, 15, 3]",0.1,True,2,-0.0,-0.0
"[50, 25, 5]",0.1,True,16,-0.0001,-0.0
"[50, 25, 5]",0.1,True,2,-0.0001,-0.0001
"[50, 25, 5]",0.1,False,16,-0.0001,-0.0001
"[50, 25, 5]",0.01,False,2,-0.0001,-0.0001
"[30, 15, 3]",0.1,False,16,-0.0001,-0.0001
"[30, 15, 3]",0.1,True,16,-0.0001,-0.0001
"[20, 5]",0.1,False,2,-0.0001,-0.0001
"[20, 10, 2]",0.1,True,32,-0.0003,-0.0003
"[20, 10, 2]",0.1,False,16,-0.0003,-0.0005
"[20, 10, 2]",0.1,False,32,-0.0004,-0.0006
"[20, 10, 2]",0.1,True,16,-0.0011,-0.0012
"[30, 15, 3]",0.1,True,32,-0.0011,-0.0016
"[50, 25, 5]",0.1,False,32,-0.0015,-0.0022
"[20, 10, 2]",0.1,True,2,-0.002,-0.0023
"[30, 15, 3]",0.1,False,2,-0.002,-0.0023
"[20, 5]",0.1,False,32,-0.0023,-0.0032
"[20, 5]",0.1,True,16,-0.0026,-0.0036
"[20, 10, 2]",0.1,False,2,-0.0027,-0.0038
"[20, 5]",0.1,False,16,-0.0028,-0.0038
"[20, 5]",0.1,True,2,-0.0037,-0.005
"[50, 25, 5]",0.1,False,2,-0.012,-0.0146
"[20, 10, 2]",0.01,False,16,-0.5212,-1.2706
